cluster_id	group
4	good
7	good
8	good
13	good
16	good
22	noise
23	mua
24	good
28	mua
41	mua
51	good
53	good
63	good
67	good
68	mua
86	mua
92	noise
96	good
97	mua
111	mua
113	good
115	mua
122	mua
124	good
125	mua
136	good
137	mua
143	good
170	mua
173	mua
176	noise
181	mua
182	good
189	mua
196	good
198	mua
200	good
201	good
207	mua
227	noise
233	noise
252	noise
258	noise
273	good
287	good
289	noise
290	mua
343	good
349	mua
388	noise
389	mua
390	noise
391	good
392	good
395	mua
396	good
397	mua
400	mua
402	good
406	good
407	noise
408	mua
410	mua
411	mua
422	noise
437	good
439	mua
444	mua
448	mua
458	good
459	mua
460	mua
462	mua
463	mua
465	noise
466	good
467	noise
468	good
474	mua
475	good
478	mua
479	good
480	mua
482	noise
483	mua
490	noise
497	good
502	good
503	mua
522	noise
534	good
535	good
543	noise
545	good
546	mua
548	mua
553	mua
558	mua
562	mua
563	noise
564	good
567	mua
572	good
574	mua
591	good
592	mua
595	good
596	good
598	mua
601	good
602	good
605	mua
608	noise
609	mua
619	noise
620	good
624	mua
630	mua
632	mua
634	good
635	mua
640	noise
641	mua
642	mua
643	good
651	mua
652	good
653	mua
658	noise
659	good
662	good
664	good
665	mua
669	mua
670	good
672	good
678	mua
679	good
685	mua
686	noise
697	good
700	noise
702	mua
704	mua
706	good
707	good
709	mua
710	good
720	noise
724	good
1039	good
1040	mua
1044	mua
1045	mua
